TT_chat_0001|{j iou4 sh iii4 w uei3 q v5 sh ou4 d uo1 l e5 y ie3 j iou4 x i2 g uan4 l e5 sp}|就是委屈受多了也就习惯了。
TT_chat_0002|{j iou4 sh iii4 n ei4 zh ong3 x ian4 z ai4 b u2 sh iii4 x iao3 p eng2 y iou5 t a1 s an1 s uei4 z uo3 y iou4 j iou4 k ai1 sh iii3 x ve2 l e5 m a5 sp j iou4 sh iii4 d a4 g ai4 sh iii4 zh ei4 g e5 n ian2 l ing2 d uan4 x iao3 p eng2 y iou5 d e5 y ing1 y v3 y in1 w uei4 t a1 m en5 m ei2 y iou3 b an4 f a2 g ei3 t a1 m en5 q van2 y ing1 w uen2 sh ou4 k e4 sp s uo2 y i3 j iou4 sh iii4 sh uang1 y v3 sp b ai3 f en1 zh iii1 l iou4 sh iii2 d e5 y ing1 y v3 sp}|就是那种现在不是小朋友他三岁左右就开始学了吗？就是大概是这个年龄段小朋友的英语因为他们没有办法给他们全英文授课，所以就是双语，百分之六十的英语。
TT_chat_0003|{sh iii4 b a5 sp w uo3 g ang1 k ai1 sh iii2 y i3 w uei2 n i3 sh iii4 b o1 y in1 zh uan1 y ie4 d e5 sp}|是吧，我刚开始以为你是播音专业的。
TT_chat_0004|{ai4 y ing1 y v3 zh uan1 y ie4 n i2 y iou3 m ei2 y iou3 j ve2 d e5 w uo3 m en5 w uo3 m en5 zh uan1 y ie4 l i3 m ian5 d e5 k e4 q van2 sh iii4 y ing1 y v3 sp j iou4 y ing1 y v3 f an1 y i4 y ing1 y v3 zh e4 y ing1 y v3 n e5 sp}|哎英语专业你有没有觉得我们我们专业里面的课全是英语，就英语翻译英语这英语呢？
TT_chat_0005|{w uo2 g an3 j ve2 w uo3 j iou4 sh iii4 b u4 x i3 h uan5 x ve2 x i2 d an4 sh iii4 n i3 y i2 y i2 d ing4 y iou3 y i4 x ie1 w uai4 z ai4 d e5 d ong1 x i5 y ia1 zh e5 w uo3 r ang4 w uo3 x ve2 w uo2 y ie3 n eng2 x ve2 j in4 q v5 w uo3 j iou4 h en3 y ing4 sh iii4 sp j iou4 x iang4 y ing1 y v3 d e5 n ei4 x ie1 zh eng4 sh u1 w uo3 d ou1 k ao3 d ao4 j iou4 k e2 y i3 l e5 sp r an2 h ou4 q i2 t a1 d e5 w uo3 zh en1 sh iii4 x ve2 b u5 j in4 q v4 sp}|我感觉我就是不喜欢学习但是你一一定有一些外在的东西压着我让我学我也能学进去我就很应试，就像英语的那些证书我都考到就可以了，然后其他的我真是学不进去。
TT_chat_0006|{d uei4 sp j i1 b en3 sh ang4 m ei2 y iou3 h en2 x i3 h uan5 x ve2 x i2 x ve2 x i2 z ong3 g uei1 h ai2 sh iii4 b i3 j iao4 k u1 z ao4 sp d a4 j ia1 k en3 d ing4 h ai2 sh iii4 x i3 h uan5 y iou3 y i4 s ii5 d e5 d ong1 x i5 sp}|对，基本上没有很喜欢学习学习总归还是比较枯燥，大家肯定还是喜欢有意思的东西。
TT_chat_0007|{w uo3 w uo3 w uo2 y iou3 g e5 j ie3 j ie5 j iou4 sh iii4 y iou3 g e5 b iao2 j ie3 t a1 y ie3 sh iii4 h en2 x i3 h uan5 x ve2 x i2 sp t a1 j iou4 sh iii4 w uo2 g an3 j ve2 t a1 z ai4 k an4 sh u1 d e5 sh iii2 h ou5 z ii4 j i3 er3 d uo5 d ou1 z ai4 d ong4 sp j iou4 sh iii4 h ao2 x i3 h uan5 n ei4 zh ong2 g an3 j ve2 sp j iou4 g an3 j ve2 z ii4 j i2 w u3 g uan1 y ia5 q i1 q iao4 y ia5 d ou1 z ai4 d ong4 sp j iou4 sh iii4 j iou4 zh ei4 zh ei4 zh ei4 zh ong3 zh en1 d e5 sh iii4 x i3 h uan1 x ve2 x i2 r an2 h ou4 x i3 h uan1 x ve2 x i2 d ai4 l ai2 d ai4 g ei3 t a1 d e5 n ei4 zh ong3 ch eng2 j iou4 g an3 sp}|我我我有个姐姐就是有个表姐她也是很喜欢学习，他就是我感觉他在看书的时候自己耳朵都在动，就是好喜欢那种感觉，就感觉自己五官呀七窍呀都在动，就是就这这这种真的是喜欢学习然后喜欢学习带来带给他的那种成就感。
TT_chat_0008|{n a4 n i2 y iou3 m ei2 y iou3 z ii4 j i2 x i3 h uan1 d e5 zh uan1 y ie4 sp}|那你有没有自己喜欢的专业？
TT_chat_0009|{d uei4 d uei4 d uei4 sp j iou4 j i1 b en3 sh ang4 d ou1 sh iii4 z ai4 w uai4 m ian5 sh ang4 k e4 sp}|对对对，就基本上都是在外面上课。
TT_chat_0010|{en4 sp s uo2 y iou3 d e5 j iou4 sh iii4 y i4 sh u4 l ei4 z ai4 w uo3 m en5 j ia1 zh ang3 zh ei4 g e5 z e5 n ian2 l ing2 l ai2 k an4 j iou4 sh iii4 b u4 w uen3 d ing4 y i4 w uei4 zh e5 b u4 w uen3 d ing4 sp}|嗯，所有的就是艺术类在我们家长这个啧年龄来看就是不稳定意味着不稳定。
TT_chat_0011|{s uo2 y i2 n i3 h ou4 m ian5 b i4 y ie4 d e5 h ua4 x iang3 y iao4 z uo4 n a3 g e4 f ang1 n a3 n a3 g e5 f ang1 m ian4 d e5 g ong1 z uo4 sp}|所以你后面毕业的话想要做哪个方哪哪个方面的工作？
